id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSG00000001630	0.00	0.00	0.00	12.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.27	10.28	0.00
ENSG00000001631	0.00	0.00	3.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000002834	13707.91	15284.44	15155.14	8173.33	7621.02	21836.52	20287.39	4810.31	794.38	11611.88	8155.97	5737.05	5914.49	7506.39	11705.55	3982.07	5158.16	5831.16	2946.15	9858.35
ENSG00000003402	0.00	0.00	0.54	0.41	0.00	0.00	2.53	0.00	0.44	1.23	0.26	1.83	0.70	3.40	0.00	1.04	0.92	2.09	2.38	4.39
ENSG00000003436	0.00	0.00	0.00	0.39	0.53	0.00	0.00	0.00	0.00	1.61	0.50	0.00	1.03	0.00	0.51	0.00	0.00	0.00	1.08	0.00
ENSG00000003509	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
ENSG00000004961	1349.55	1227.21	1502.60	467.46	1069.72	359.39	526.58	2176.54	490.09	274.85	2132.60	468.27	734.06	643.10	2030.87	1038.97	578.44	676.07	979.15	1031.08
ENSG00000005073	0.00	0.00	0.00	0.00	4.09	0.00	11.45	607.16	1353.75	5.74	11.66	378.87	0.00	0.00	33.61	3.82	183.96	85.35	43.57	8.64
ENSG00000005102	0.00	0.00	0.00	0.00	2.05	0.00	0.00	96.94	1.91	12.25	115.56	76.25	0.00	7.27	0.00	764.40	50.71	153.89	30.11	27.78
ENSG00000005421	0.00	0.00	0.00	0.00	6.69	147.22	8.72	56.61	20.82	8.89	0.00	12.95	101.10	5.88	78.15	1.56	50.42	0.00	58.30	412.75
ENSG00000005801	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.75
ENSG00000005884	0.00	0.00	0.00	0.00	0.00	1.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.55	0.00	0.00	0.00
ENSG00000006015	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.55	0.00	7.18	0.00	0.00	0.00	1.74	0.00	0.00
ENSG00000006016	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.79	0.00	0.00	23.71	11.39	0.00	0.00	0.00	0.00	0.00	0.00	20.19
ENSG00000006468	56.31	28.03	58.69	0.00	18.15	26.71	23.35	104.50	87.34	9.51	1.15	1.16	6.17	130.49	24.82	198.08	67.66	0.61	100.49	341.80
ENSG00000006555	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006607	0.00	0.00	2.51	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006634	868.90	698.92	934.37	605.85	1200.99	1226.72	620.51	4362.95	1240.81	1090.95	1383.51	1501.83	1326.76	1144.93	753.93	1579.71	1897.16	543.05	1148.16	943.74
ENSG00000006638	4.66	0.00	0.00	0.00	2.45	2.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.31	0.00	0.00	0.00	0.00	0.00	2.07
ENSG00000006756	24.58	11.69	4.21	0.00	4.32	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	7.29	1.97	6.58	3.65
ENSG00000007392	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000007908	0.00	0.00	11.70	0.00	0.00	0.00	0.00	45.74	11.19	8.63	11.37	58.02	33.28	10.54	0.00	1230.44	4.19	1.09	1.26	79.60
ENSG00000008056	0.00	0.00	0.00	0.00	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000008283	0.00	2.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000008838	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.75
ENSG00000008988	0.00	0.00	0.00	0.00	0.00	2.27	0.00	8.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.57	0.00	0.00
ENSG00000009335	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.39	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000009413	3.23	0.00	0.00	0.79	6.84	3.24	0.00	7.94	7.70	13.02	1.63	170.52	9.53	45.26	13.15	17.67	7.30	0.00	60.69	5.77
